claim_id,chapter,section,claim_text,claim_status,artifact_path,row_filter_or_record,metric,value_or_state,denominator,authority_commit,limitation,allowed_wording,forbidden_wording
C01_holdout_population,III,Evaluation surface,"Closure V1 evaluated 88 held-out WQP locations, 4,488 origins and 13,464 origin-horizon attempts.",descriptive_available,reports/closure_v1/01_surface/locked_evaluation_input_summary.json,input-only locked surface,site/origin/attempt counts,88;4488;13464,13464,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Internal pseudoprospective location holdout.,internal pseudoprospective evaluation,external validation
C02_intent_to_predict,III,Estimands,Failures and unavailable predictions remained in the intent-to-predict denominator.,descriptive_available,reports/closure_v1/01_benchmark/model_metrics_long.csv,all terminal_status rows,attempted versus successful denominator,retained,13464,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Availability is part of the estimand.,intent-to-predict denominator,complete-case denominator
C03_primary_models_unavailable,IV,Model availability,"P0, P1 and A2 were unavailable and were not substituted.",model_unavailable,reports/closure_v1/03_calibration/model_availability.csv,"model_id in P0,P1,A2",availability_state,model_unavailable,3 models,ea8ddce7f8edb9a61db97e29178e52603fa371b1,No replacement or imputation is permitted.,"P0, P1 and A2 unavailable",trained or evaluated P0/P1/A2
C04_brier_observation_weighted,IV,Benchmark,"B2 had the lowest observation-weighted Brier score at horizons 1, 2 and 3 among estimable branches; each rank is accompanied by its exact attempted, successful and metric-evaluable denominators and rates.",descriptive_available,reports/closure_v1/01_benchmark/model_metrics_long.csv,metric=brier;estimand=observation_weighted;terminal_status=estimated,five-seed mean Brier rank/value plus successful and evaluable rates,h1=B2:mean=0.1554:success_rate=0.184269:evaluable_rate=0.184269|h2=B2:mean=0.1597:success_rate=0.191176:evaluable_rate=0.191176|h3=B2:mean=0.1659:success_rate=0.182487:evaluable_rate=0.182487,h1:attempted=22440:successful=4135:evaluable=4135|h2:attempted=22440:successful=4290:evaluable=4290|h3:attempted=22440:successful=4095:evaluable=4095,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The ranking is estimand-specific and descriptive.,B2 lowest observation-weighted Brier at h1-h3,universal winner
C05_pr_auc_observation_weighted,IV,Benchmark,"A1 had the highest observation-weighted PR-AUC at horizon 1, while B2 had it at horizons 2 and 3 among estimable branches; each rank is accompanied by its exact attempted, successful and metric-evaluable denominators and rates.",descriptive_available,reports/closure_v1/01_benchmark/model_metrics_long.csv,metric=pr_auc;estimand=observation_weighted;terminal_status=estimated,five-seed mean PR-AUC rank/value plus successful and evaluable rates,h1=A1:mean=0.6105:success_rate=0.141488:evaluable_rate=0.141488|h2=B2:mean=0.6287:success_rate=0.191176:evaluable_rate=0.191176|h3=B2:mean=0.6024:success_rate=0.182487:evaluable_rate=0.182487,h1:attempted=22440:successful=3175:evaluable=3175|h2:attempted=22440:successful=4290:evaluable=4290|h3:attempted=22440:successful=4095:evaluable=4095,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The horizon-specific ranking is descriptive.,A1 at h1 and B2 at h2-h3 for observation-weighted PR-AUC,universal superiority
C06_f1_vs_f0_absolute_error,IV,Paired descriptive comparison,F1 had higher absolute error than F0 in all 15 estimated exact-shared-row seed-horizon comparisons.,descriptive_available,reports/closure_v1/01_benchmark/model_comparison_paired.csv,comparison_id=F1_vs_F0;metric=absolute_error;terminal_status=estimated,mean_loss_difference_F1_minus_F0,positive in 15/15,15,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The comparison has no inferential interval and does not establish universal model superiority.,F1 higher absolute error than F0 in 15 of 15,F1 inferior for every estimand and metric
C07_anfis_ablation,IV,ANFIS ablation,"Relative to A0 on exact common rows, A1 had higher PR-AUC at three horizons, lower Brier at three, and lower MAE at two of three.",descriptive_available,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,challenger=A1;reference=A0;status=available,delta PR-AUC/Brier/MAE directions,3/3;3/3;2/3,3175;3125;3045 common rows,ea8ddce7f8edb9a61db97e29178e52603fa371b1,"No interval, membership-stability or saturation claim is available.",descriptive A1-A0 changes on exact common rows,saturated or confirmatorily superior ANFIS
C08_anfis_missing_diagnostics,IV,ANFIS diagnostics,The three prespecified learning-curve sizes and the membership-stability analysis remained unavailable.,insufficient_support,reports/closure_v1/11_synthesis/THESIS_TABLES/T09_anfis_ablation.csv,4096;16384;65536 plus membership_stability sentinel,completed diagnostics,0/4,4,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The absence of these diagnostics blocks saturation and membership-stability claims.,E7 diagnostics unavailable,saturated curve or stable memberships
C09_site_transfer,IV,Site transfer,"None of the 1,050 registered legacy-to-holdout site-transfer cells was estimable because the legacy evaluation surface was not frozen before E0-U.",insufficient_support,reports/closure_v1/02_site_transfer/generalization_gap.csv,all rows;estimable=False,estimable site-transfer cells,0,1050,ea8ddce7f8edb9a61db97e29178e52603fa371b1,This is internal WQP transfer and not external geographic validation.,E2 not estimable: 0 of 1050,absence of a gap or external validation
C10_thresholds,IV,Threshold sensitivity,"Threshold sensitivity is reported for 25, 30, 33 and 50 micrograms per litre.",descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv,all cutoffs,prevalence/support/rank stability,25;30;33;50,reported per cutoff,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The 50 threshold has sparse support.,descriptive cutoff sensitivity,threshold recalibrated after unblinding
C11_trophic_b2_vs_b1,IV,Trophic references,B2 improved on B1 in all four ordinal metrics in each of 15 proxy/reference-by-horizon summaries.,descriptive_available,reports/closure_v1/11_synthesis/THESIS_TABLES/T07_trophic_performance.csv,B1/B2;five-seed means;proxy plus four Carlson references,macro-F1/kappa higher and ordinal-MAE/severe-error lower,15/15,15 reference-horizon cells,ea8ddce7f8edb9a61db97e29178e52603fa371b1,"These are internal proxy and derived-reference comparisons, not direct NLA target transfer.",B2 better than B1 on all four ordinal metrics,external NLA trophic validation
C12_degradation,IV,Controlled degradation,All 78 registered M0-versus-P1 degradation cells were unavailable because P1 was unavailable.,model_unavailable,reports/closure_v1/06_degradation/failure_registry.csv,all exact78 failure rows,estimable degradation cells,0,78,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Unavailable cells are not zero effects and were not reconstructed.,E6 unavailable: 0 of 78 estimable cells,confirmed robustness or zero effect
C13_uncertainty,IV,Uncertainty,"Raw Gaussian was within the sealed 0.05 coverage margin in 30 of 30 primary A0/A1 groups, versus 26 of 30 for locked conformal; locked conformal was closer in 5 of 30 paired groups and wider in all 30.",descriptive_available,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,A0/A1 raw_gaussian versus locked_conformal; nominal_coverage=0.90; exact paired model/seed/horizon groups,"paired coverage-margin, closeness, width and mean/median absolute-error diagnostics",raw_within=30/30;locked_within=26/30;locked_closer=5/30;locked_wider=30/30;mean_abs_error_raw=0.015565;median_abs_error_raw=0.013386;mean_abs_error_locked=0.032271;median_abs_error_locked=0.030872,30 paired primary groups,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Locked conformal did not improve these diagnostics uniformly and this is not global calibration.,descriptive raw-versus-locked comparison,conformal always improves;globally calibrated
C14_multiplicity,IV,Inference ledger,"Holm universes A=3, B=78, C=1, D=9 and E=1 were retained despite non-estimability.",descriptive_available,reports/closure_v1/05_inference/multiplicity_report.csv,all families,registered universe size,A3;B78;C1;D9;E1,92 cells,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Non-estimability is not a zero effect.,complete Holm universes,reduced multiplicity family
C15_planning,IV,Planning,All nine preregistered planning actions were non-estimable.,model_unavailable,reports/closure_v1/09_planning/planning_bootstrap.csv,all actions,delta_objective_vs_no_action/CI/p-value availability,model_unavailable,9 actions,ea8ddce7f8edb9a61db97e29178e52603fa371b1,"No causal, net-benefit or optimality claim is authorized.",planning not estimable,optimal no-action or official recommendation
C16_software,IV,Software evidence,"E10 verified 338 passing public tests with 9 justified skips, three passing end-to-end tests, a valid 69-path/83-operation OpenAPI contract, and the sealed Python 3.14.7, FastAPI 0.138.1 and DVC 3.67.1 environment.",descriptive_available,reports/closure_v1/11_synthesis/THESIS_TABLES/T12_software_evidence.csv,runtime_environment plus recovery_2 verification summaries,tests/OpenAPI/E2E/runtime state,338 pass;9 skip;3 E2E;69 paths;83 operations;38 documented;Python 3.14.7;FastAPI 0.138.1;DVC 3.67.1,6 source artifacts,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Software verification does not validate scientific utility.,reproducible software contract,software proves scientific efficacy
C17_global_verdict_discussion,V,Discussion,"Closure V1 provides no conclusive predictive corroboration, while preserving a reproducible engineering and methodological contribution.",insufficient_support,reports/closure_v1/11_synthesis/FINAL_CLOSURE_MATRIX.csv,exact130 adjudication rows,global thesis verdict,no_conclusive_predictive_corroboration,92 Holm cells plus 38 descriptive/limitation rows,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The engineering contribution is distinct from predictive corroboration.,no conclusive predictive corroboration,total failure or demonstrated efficacy
C18_summary_boundary,Summary,Results,"The summary may report descriptive available results and explicit non-estimability, but not replace unavailable P0, P1 or A2.",insufficient_support,reports/closure_v1/11_synthesis/FINAL_CLOSURE_MATRIX.csv,availability_state and model_or_pair,authorized synthesis boundary,no substitution,130 adjudication rows,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Every unavailable result remains labelled and denominator-preserving.,descriptive results with explicit unavailability,reconstructed or substituted models
C19_abstract_boundary,Abstract,Conclusion,"The abstract may state the internal pseudoprospective scope and non-conclusive verdict, without claiming external validation or causal planning.",insufficient_support,reports/closure_v1/11_synthesis/FINAL_CLOSURE_MATRIX.csv,global verdict and limitation codes,authorized abstract boundary,internal;non-conclusive;non-causal,130 adjudication rows,ea8ddce7f8edb9a61db97e29178e52603fa371b1,The scope is internal WQP and descriptive where available.,internal evaluation and non-conclusive verdict,external validation or causal recommendation
C20_conclusion_boundary,Conclusion,Final thesis conclusion,"The conclusion may claim reproducibility and methodological traceability, not universal superiority, field causality or official management recommendations.",insufficient_support,reports/closure_v1/11_synthesis/FINAL_CLOSURE_MATRIX.csv,verdict and evidence_paths,authorized conclusion boundary,reproducible_methodological_contribution,130 adjudication rows,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Reproducibility is not scientific efficacy.,reproducible methodological contribution,"universal superiority, field causality, or official recommendation"
