component,evidence tier,authority commit,dataset/freeze used,execution date,commit/hash,artifact,split,includes NLA,allowed conclusion
Data freeze v0 with NLA,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current data freeze v0 generated after EPA NLA integration.,2026-05-19T01:08:49.234972+00:00,git:9f538e35ec07; manifest:1acbb38a8a44; artifact:2a6ce68c8d43,data/freeze/DATA_FREEZE.md,not applicable,yes,"Historical or infrastructure context only; not final Closure V1 evidence. Final data-infrastructure evidence for the enriched freeze; supports NLA integration into provenance, canonical observations, panel, targets, splits, and reports, but not downstream model retraining by itself."
Temporal split v0,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze v0 through monthly target model and temporal split pipeline.,2026-05-19T00:31:02.332941+00:00,manifest:0b2ebceace30; artifact:1d2fb86a5178,data/splits/SPLIT_REPORT.md,train <= 2018-12; validation 2019-01 to 2021-12; test >= 2022-01,"yes, through freeze-derived candidate rows; no cross-source target transfer",Historical or infrastructure context only; not final Closure V1 evidence. Final leakage-controlled split evidence for the current freeze; supports train/validation/test boundaries and row counts used by later freeze-compatible workflows.
NLA/WQP crosswalk candidate review,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze v0 site registry and source-resolution review.,2026-05-19T01:08:04+00:00,manifest:c2c67934a179; script:02b1c8698c4f; artifact:f59ef7cd8ebb,reports/data/waterbody_crosswalk_candidates_report.md,not applicable,yes,Historical or infrastructure context only; not final Closure V1 evidence. Final candidate-resolution evidence; NLA/WQP links remain review candidates and must not be used as accepted transfer identities in model claims.
Baseline model selection,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Iteration 1 monthly panel/splits before the NLA-enriched freeze was generated.,2026-05-16T21:03:55.422532+00:00,manifest:957fa2eece0c; artifact:96525d2a350b,reports/baselines/baseline_selection_report.md,train/validation/test; test report only after validation selection,no,"Historical or infrastructure context only; not final Closure V1 evidence. Reproducible evidence from a previous iteration, not a final evaluation of the NLA-enriched freeze."
Refined fuzzy ensemble,historical_or_infrastructure,row-specific historical provenance; see commit/hash,"Iteration 1 panel, splits, fuzzy state, and baseline selection before the NLA-enriched freeze was generated.",2026-05-16T22:12:00.945837+00:00,manifest:bceff515557a; script:dde64099bf6d; artifact:985d34909542,reports/anfis/refined_fuzzy_report.md,train/validation/test; test report only,no,"Historical or infrastructure context only; not final Closure V1 evidence. Reproducible evidence from a previous iteration, not a final evaluation of the NLA-enriched freeze."
Current model audit and operational scores,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Iteration 1 fuzzy and operational score surfaces before the NLA-enriched freeze was generated.,2026-05-16T22:31:30.187893+00:00,manifest:794ab809a88b; script:55433b37fae3; artifact:3352f47dd9cd,reports/anfis/current_model_report.md,train/validation/test audit surfaces where available,no,Historical or infrastructure context only; not final Closure V1 evidence. Reproducible architecture and audit evidence from a previous iteration; do not present as final performance on the NLA-enriched freeze.
Original PIPE-GRU-D one-step model,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Iteration 1 PIPE sequence dataset before the NLA-enriched freeze was generated.,2026-05-17T02:26:13.752615+00:00,manifest:1b350e13a302; script:5ef3f8215b96; artifact:1de26e89abc7,reports/pipe_grud/pipe_grud_report.md,train/validation/test,no,Historical or infrastructure context only; not final Closure V1 evidence. Reproducible previous-iteration performance evidence; use as historical architecture evidence unless explicitly framed as pre-NLA.
Original PIPE-GRU-D rollout alerts,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Iteration 1 PIPE-GRU-D rollout evidence before the NLA-enriched freeze was generated.,2026-06-12T14:33:47.938068+00:00,manifest:5f1d0c2e78fa; script:2ba9948299f3; artifact:c286a1e2d736,reports/pipe_grud/pipe_rollout_backtest_report_test.md,test,no,Historical or infrastructure context only; not final Closure V1 evidence. Reproducible previous-iteration rollout evidence; not a final NLA-enriched freeze evaluation.
Adaptive ANFIS WQP-focused state export,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible WQP-focused surface after NLA integration; source-scoped policy keeps NLA out of monthly target transfer.,2026-06-15T15:36:32.801358+00:00,manifest:84644b764d92; script:5e7a6d896c27; artifact:b1f238d3bc39,reports/anfis/adaptive_anfis_state_report.md,train/validation/test,yes as freeze/provenance context; operational surface is WQP-focused,"Historical or infrastructure context only; not final Closure V1 evidence. Final freeze-compatible adaptive fuzzy evidence for the WQP-focused surface; NLA is enrichment/provenance, not direct monthly target transfer."
Adaptive WQP-focused PIPE-GRU-D one-step model,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible WQP-focused PIPE sequence after NLA integration.,2026-06-15T16:48:44.675172+00:00,manifest:01f2cf62811b; script:12763d17cf39; artifact:d2840f3a2fe9,reports/pipe_grud/adaptive_wqp_focused/pipe_grud_report.md,train/validation/test,yes as freeze/provenance context; sequence is WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Final freeze-compatible WQP-focused state-forecast evidence; do not claim direct NLA target learning.
