hypothesis_id,multiplicity_family,comparison_id,endpoints,estimand,alternative,evaluation_cohort,horizons_months,multiplicity_universe_size,correction_method,family_wise_alpha,availability_condition,status,availability_reason,p_value,effect_estimate,confidence_interval,holm_universe_retained
H2_P1_vs_B1,A,P1_vs_B1,pr_auc;brier,paired_observation_weighted_and_location_balanced,greater_pr_auc_and_lower_brier,locked_location_holdout,1;2;3,3,holm,0.05,both_models_available_on_exact_common_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H2_P1_vs_B2,A,P1_vs_B2,pr_auc;brier,paired_observation_weighted_and_location_balanced,greater_pr_auc_and_lower_brier,locked_location_holdout,1;2;3,3,holm,0.05,both_models_available_on_exact_common_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H1_P1_vs_P0,A,P1_vs_P0,pr_auc;brier,paired_observation_weighted_and_location_balanced,greater_pr_auc_and_lower_brier,locked_location_holdout,1;2;3,3,holm,0.05,both_models_available_on_exact_common_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_control,B,M0_vs_P1_control,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_mcar_10,B,M0_vs_P1_mcar_10,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_mcar_25,B,M0_vs_P1_mcar_25,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_mcar_50,B,M0_vs_P1_mcar_50,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_block_1m_10,B,M0_vs_P1_block_1m_10,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_block_3m_10,B,M0_vs_P1_block_3m_10,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_block_6m_25,B,M0_vs_P1_block_6m_25,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_ablate_nutrients,B,M0_vs_P1_ablate_nutrients,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_ablate_physchem,B,M0_vs_P1_ablate_physchem,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_ablate_light,B,M0_vs_P1_ablate_light,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_ablate_temperature,B,M0_vs_P1_ablate_temperature,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_combined_moderate,B,M0_vs_P1_combined_moderate,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H4_M0_vs_P1_combined_severe,B,M0_vs_P1_combined_severe,pr_auc;brier,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,two_sided,locked_location_holdout,1;2;3,78,holm,0.05,M0_and_P1_available_on_exact_shared_success_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_surface_A2_vs_P1,C,A2_vs_P1,pr_auc;brier,paired_observation_weighted_and_location_balanced,greater_pr_auc_and_lower_brier,locked_location_holdout,1;2;3,1,holm,0.05,A2_and_P1_available_on_exact_common_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_tp_reduction_10_vs_no_action,D,tp_reduction_10_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_tp_reduction_25_vs_no_action,D,tp_reduction_25_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_tn_reduction_10_vs_no_action,D,tn_reduction_10_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_tp_tn_reduction_10_vs_no_action,D,tp_tn_reduction_10_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_clarity_mild_vs_no_action,D,clarity_mild_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_clarity_strong_vs_no_action,D,clarity_strong_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_oxygen_support_05_vs_no_action,D,oxygen_support_05_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_nutrient_clarity_mild_vs_no_action,D,nutrient_clarity_mild_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_D_nutrient_clarity_strong_vs_no_action,D,nutrient_clarity_strong_vs_no_action,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,greater_than_zero,locked_location_holdout,1;2;3,9,holm,0.05,P1_available_all_five_seeds_action_and_no_action,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
H_E_uncertainty_before_vs_after_recalibration,E,uncertainty_before_vs_after_recalibration,winkler_interval_score_0_90,paired_mean_delta_equal_weight_endpoints_and_horizons,less_than_zero,locked_location_holdout,1;2;3,1,holm,0.05,P1_available_all_five_seeds_exact_shared_rows,not_estimable_model_unavailable,P1_model_unavailable_no_substitution,,,,true
