model_id,experiment_id,availability_state,availability_reason,evidence_paths,authority_commit
B0,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E5,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B0,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
